product,volume,weight,weight_pc,fy
PUBLIC COST AND REVENUE ANALYSIS,None,None,None,2008
Fiscal Year 2008,None,None,None,2008
VOLUME STATISTICS,None,None,None,2008
Mail Classes and Products,Pieces,Pounds,Piece,2008
(note 1),(thousands),(thousands),(ounces),2008
MARKET DOMINANT AND COMPETITIVE PRODUCTS,None,None,None,2008
First-Class Mail:,None,None,None,2008
Single-Piece Letters,33509710.117,1000328.975,0.47763061942694274,2008
Single-Piece Cards,1845859.643,11830.08,0.10254370136852274,2008
Total Single-Piece Letters and Cards,35355569.76,1012159.0549999999,0.4580479112607009,2008
Presort Letters,48379873.634,2174874.013,0.7192657110113855,2008
Presort Cards,3555997.304,28969.254,0.13034544865335476,2008
Total Presort Letters and Cards,51935870.938,2203843.267,0.6789429277905912,2008
Flats,3379740.2690000003,693504.018,3.283111542557414,2008
Parcels,605521.7640000001,195046.73200000002,5.153815927911056,2008
Outbound Single-Piece First-Class Mail Intl,420032.766,60543.29299999999,2.306231242921653,2008
Inbound Single-Piece First-Class Mail Intl,417029.2187212187,n/a,n/a,2008
Total First-Class,92113764.71572122,4165096.3649999998,0.7234699617985124,2008
Standard Mail:,None,None,None,2008
High Density and Saturation Letters,5598912.951,250004.215,0.7144364406104159,2008
High Density and Saturation Flats and Parcels,13584058.849,2533241.995,2.983782120686542,2008
Carrier Route,12070176.063,2500770.282,3.3149743883731784,2008
Letters,57086421.302,2859998.608,0.801591283606997,2008
Flats,10010856.96,2541283.885,4.061644504807708,2008
Not Flat-Machinables and Parcels,733728.82,331886.296,7.237252498818297,2008
Total Standard Mail,99084154.945,11017185.281,1.7790429215836514,2008
Periodicals:,None,None,None,2008
In County,830887.26,279193.069,5.3762878780931125,2008
Outside County (note 2),7774339.432,3397716.043,6.992678563047336,2008
Total Periodicals,8605226.692,3676909.112,6.836606157824157,2008
Package Services:,None,None,None,2008
Single-Piece Parcel Post,89536.328,470859.327,84.14181595653555,2008
Inbound Surface Parcel Post (at UPU Rates),604.155,n/a,n/a,2008
Bound Printed Matter Flats,289623.046,402869.329,22.256202857558513,2008
Bound Printed Matter Parcels,308560.581,926808.478,48.058425350190795,2008
Media and Library Mail (note 2),158504.963,354742.73,35.80887041372957,2008
Total Package Services,846829.073,2155279.864,40.75096004677093,2008
U.S. Postal Service Mail,823684.668,148948.377,2.8933087194479628,2008
"Free Mail - blind, handicapped & servicemen",71975.38,33306.812,7.40404555002002,2008
Total Market Dominant Mail,201545635.47372124,21196725.811,1.6827336011462286,2008
Total Competitive Mail,1591148.1979999666,3040527.594507993,30.57442516874152,2008
Total All Mail (not including services),203136783.6717212,None,None,2008
Mail Classes and Products,Transactions,Pounds,Piece,2008
SERVICE TRANSACTIONS,None,None,None,2008
Ancillary Services,None,None,None,2008
Certified Mail,268917.102,NA,NA,2008
COD,1155.026,NA,NA,2008
Insurance,51595.22,NA,NA,2008
Registered Mail,3861.192,NA,NA,2008
Stamped Envelopes,0,NA,NA,2008
Stamped Cards (note 3),0,NA,NA,2008
Other Ancillary Services,1208209.829,NA,NA,2008
Total Domestic Ancillary Services,1533738.369,NA,NA,2008
Total International Ancillary Services (note 2),16466.812,NA,NA,2008
Special Services:,None,None,None,2008
Money Orders,149124.623,NA,NA,2008
Post Office Box Service,0,NA,NA,2008
Other Special Services,139,NA,NA,2008
Total Market Dominant Service Transactions,1699468.804,NA,NA,2008
Total Competitive Service Transactions,3231.81,NA,NA,2008
PUBLIC COST AND REVENUE ANALYSIS,None,None,None,2009
Fiscal Year 2009,None,None,None,2009
VOLUME STATISTICS,None,None,None,2009
Mail Classes and Products,Pieces,Pounds,Piece,2009
(note 1),(thousands),(thousands),(ounces),2009
MARKET DOMINANT PRODUCTS,None,None,None,2009
First-Class Mail:,None,None,None,2009
Single-Piece Letters,30016464.675,912863.851,0.4865936669805369,2009
Single-Piece Cards,1616755.072,10348.311,0.10241067361871867,2009
Total Single-Piece Letters and Cards,31633219.747,923212.162,0.46695830238402697,2009
Presort Letters,44807701.007,1874580.676,0.6693780341757404,2009
Presort Cards,3126015.817,25335.121,0.12967366761087634,2009
Total Presort Letters and Cards,47933716.824,1912252.797,0.6343095734965195,2009
Flats,2864495.701,597233.4909999999,3.335922568382308,2009
Parcels,580825.6950000001,189711.124,5.225970562476578,2009
Domestic First-Class (NSA) Mail,301476,12337,0.6547519537210259,2009
Outbound First-Class Mail International,456448.68704000005,55791.415088184,1.955669206104469,2009
Inbound International Single-Piece Letter Post,439954.9968426003,95104.60062371,3.458702869384067,2009
Total First-Class,84210137.6508826,3690537.9890881837,0.7012054542674419,2009
Standard Mail:,None,None,None,2009
High Density and Saturation Letters,5085391.051,228547.848,0.7190726399066061,2009
High Density and Saturation Flats and Parcels,12356827.956,2174818.618,2.816021879717429,2009
Carrier Route,9856741.061999999,1993434.905,3.2395301818762645,2009
Letters,46223874.831,2585932.247,0.8899277224035684,2009
Flats,7793510.893,1963766.023,4.030436844030768,2009
Not Flat-Machinables and Parcels,679041.478,305919.65,7.208270125731554,2009
Domestic Negotiated Serv. Agreement Mail,710174.415,37023,0.8341162219987888,2009
Inbound Intl. Negotiated Serv. Agreement Mail,649,160,3.9445300462249615,2009
Total Standard Mail,82706210.68600002,9289602.291000001,1.797111024048091,2009
Periodicals:,None,None,None,2009
In County,859268.411,267225.951,4.975878504627119,2009
Outside County (note 2),7094446.626,2765136.01,6.236170133109406,2009
Total Periodicals,7953715.0370000005,3032361.9609999997,6.100016300596563,2009
Package Services:,None,None,None,2009
Single-Piece Parcel Post,80716.175,444397.192,88.0908327482069,2009
Inbound Intl. Surface Parcel Post (at UPU Rates),878.3530000000001,15109.663889468,2.9951199029375215,2009
Bound Printed Matter Flats,238799.031,332350.809,22.268151263980634,2009
Bound Printed Matter Parcels,270623.006,780716.431,46.15817066195769,2009
Media and Library Mail (note 2),140138.772,314553.264,35.91334612237076,2009
Total Package Services,731155.3369999999,1887127.359889468,41.01496253098399,2009
U.S. Postal Service Mail,454864.854,126141.454,4.437061351853753,2009
"Free Mail - blind, handicapped & servicemen",61958.282,30243.412,7.810006610577098,2009
Total Market Dominant Mail,176118041.84688264,18056014.466977652,1.6403556866865994,2009
Mail Classes and Products,Transactions,Pounds,Piece,2009
MARKET DOMINANT SERVICES,None,None,None,2009
Ancillary Services:,None,None,None,2009
Certified Mail,266490.764,NA,NA,2009
COD,1015.205,NA,NA,2009
Insurance,43767.42,NA,NA,2009
Registered Mail,3181.977,NA,NA,2009
Other Ancillary Services (note 2),1301738.567,NA,NA,2009
Total International Ancillary Services (note 2),16891.051999999996,NA,NA,2009
Special Services:,None,None,None,2009
Money Orders,135039.46,NA,NA,2009
Total Market Dominant Service Transactions,1768124.445,NA,NA,2009
COMPETITIVE PRODUCTS,None,None,None,2009
Total Express Mail,47015.273,44914.777,15.285169821304665,2009
Total Priority Mail,790069.671,1634451.697,33.099900061851635,2009
Total Ground,241186.127,908804.894,4.2462117639080414,2009
Total Competitive International,321199.6066472376,278820.8740139435,13.888977109248469,2009
Total Competitive Services,2704.227,n/a,n/a,2009
Total Competitive Mail and Services,1400697.851647238,2866992.2420139434,32.74930122743974,2009
Total All Mail (not including special services),177518739.69852987,None,None,2009
PUBLIC COST AND REVENUE ANALYSIS,None,None,None,2010
Fiscal Year 2010,None,None,None,2010
VOLUME STATISTICS,None,None,None,2010
Mail Classes and Products,Pieces,Pounds,Piece,2010
(note 1),(thousands),(thousands),(ounces),2010
MARKET DOMINANT PRODUCTS,None,None,None,2010
First-Class Mail:,None,None,None,2010
Single-Piece Letters,27147918.293,847776.797,0.49964894566142637,2010
Single-Piece Postcards,1436993.692,9183.251,0.10224959011163147,2010
Total Single-Piece Letters and Cards,28584911.985000003,856960.0480000001,0.47967126067049176,2010
Presort Letters,43293820.685,2048445.808,0.7570395130165907,2010
Presort Cards,2931565.187,23923.312,0.13056949703776108,2010
Total Presort Letters and Cards,46225385.872,2072369.12,0.7173094457624563,2010
Flats,2483991.704,515683.16500000004,3.3216417859662872,2010
Parcels,574428.826,190876.23500000002,5.316619956673275,2010
Outbound First-Class Mail International,334404.18304,60529.40725571776,2.8961076601593825,2010
Inbound International Single-Piece Letter Post,346070.79551415023,79249.60343439382,3.663971856008448,2010
Total First-Class,78549193.36555415,3775667.578690111,0.7690808609313284,2010
Standard Mail:,None,None,None,2010
High Density and Saturation Letters,5428042.527,238323.2,0.7024947172083938,2010
High Density and Saturation Flats and Parcels,11363444.416,2121947.471,2.987752506466786,2010
Carrier Route,9428282.942,1991215.832,3.3791363186690413,2010
Letters,48301094.047,2890277.0979999998,0.9574200021846556,2010
Flats,7049230.266,1773809.349,4.0261061864992,2010
Not Flat-Machinables and Parcels,682403.363,302311.204,7.088152735261359,2010
Standard Mail NSAs,271249.607,27485.103,1.6212434475527184,2010
Total Standard Mail,82523747.168,9345369.257,1.8119137005206332,2010
Periodicals:,None,None,None,2010
In County,695455.322,203858.225,4.6900663447651345,2010
Outside County (note 2),6574014.264,2574114.051,6.26494302598915,2010
Total Periodicals,7269469.586,2777972.276,6.1142777874193035,2010
Package Services:,None,None,None,2010
Single-Piece Parcel Post,61408.341,405953.789,105.77163489891382,2010
Inbound Intl. Surface Parcel Post (at UPU Rates),1088.8389999999997,19142.396582997997,281.2889190486087,2010
Bound Printed Matter Flats,229751.608,320168.096,22.29664279868718,2010
Bound Printed Matter Parcels,244735.541,679753.772,44.44005275065464,2010
Media and Library Mail (note 2),122322.1,284889.343,37.26415331326064,2010
Total Package Services,659306.429,1709907.3965829979,41.495907125953366,2010
International Negotiated Service Agreements,1142.651,286.558,4.012535761137915,2010
U.S. Postal Service,431206.015,131446.673,4.877359533122468,2010
"Free Mail - blind, handicapped & servicemen",67214.168,31048.164,7.390861759978938,2010
Total Domestic Market Dominant Mail,169501279.3825541,17771697.90327311,1.6775517417223467,2010
Mail Classes and Products,Transactions,Pounds,Piece,2010
MARKET DOMINANT SERVICES,None,None,None,2010
Ancillary Services,None,None,None,2010
Certified Mail,268724.724,NA,NA,2010
COD,834.483,NA,NA,2010
Insurance,39146.196,NA,NA,2010
Registered Mail,2966.55,NA,NA,2010
Other Ancillary Services (note 2),1605496.227,NA,NA,2010
Total International Ancillary Services (note 2),2752.831,NA,NA,2010
Special Services,None,None,None,2010
Money Orders,123404.756,NA,NA,2010
Total Market Dominant Service Transactions,2043325.767,NA,NA,2010
COMPETITIVE PRODUCTS,None,None,None,2010
Total Express Mail,42552.965,39794.417,14.962780431398848,2010
Total Priority Mail,809470.6030000001,1698402.755,33.57063737619141,2010
Total Ground,296824.042,1058066.844,57.03402389487035,2010
Total Competitive International,289053.7975210389,291348.99731080583,16.127046234822767,2010
Total Competitive Mail,1437901.407521039,3087613.013310806,34.35688146250741,2010
Total All Mail (not including special services),170940386.33407515,None,None,2010
PUBLIC COST AND REVENUE ANALYSIS,None,None,None,2011
Fiscal Year 2011,None,None,None,2011
VOLUME STATISTICS,None,None,None,2011
Mail Classes and Products,Pieces,Pounds,Piece,2011
(note 1),(thousands),(thousands),(ounces),2011
MARKET DOMINANT PRODUCTS,None,None,None,2011
First-Class Mail:,None,None,None,2011
Single-Piece Letters,24550823.641,769643.158,0.5015836009442499,2011
Single-Piece Postcards,1295941.093,8279.536,0.1022211400776995,2011
Total Single-Piece Letters and Cards,25846764.733999997,777922.694,0.48155980959686484,2011
Presort Letters,41740735.339,2210724.71,0.8474118884760263,2011
Presort Cards,2753762.51,22478.61,0.13060594684325194,2011
Total Presort Letters and Cards,44494497.849,2233203.32,0.8030488003541554,2011
Flats,2230919.8559999997,455320.50599999994,3.2655265837572967,2011
Parcels,637982.206,208796.413,5.236419725474287,2011
Outbound First-Class Mail International,310335.18503999995,54178.258999999984,2.7932770300869003,2011
Inbound International Single-Piece Letter Post,238078.05309330125,58133.674112337,3.9068648861677167,2011
Total First-Class,73758577.8831333,3787554.8661123374,0.8216112565756947,2011
Standard Mail:,None,None,None,2011
High Density and Saturation Letters,5653874.948,237736.151,0.6727737084714878,2011
High Density and Saturation Flats and Parcels,11424568.14,2144022.645,3.002683506249366,2011
Carrier Route,9335928.374,1993085.265,3.4157678767984088,2011
Letters,50584189.204,2666837.031,0.8435322018095304,2011
Flats,6783186.364999999,1710266.86,4.034132085946308,2011
Not Flat-Machinables and Parcels,733770.153,321571.215,7.01192249230121,2011
Standard Mail NSAs,175741.96500000003,18419.209000000003,1.6769321089587226,2011
Total Standard Mail,84691259.149,9091938.376,1.7176626664632328,2011
Periodicals:,None,None,None,2011
In County,661561.122,192369.949,4.652509166038932,2011
Outside County (note 2),6415178.344,2533036.164,6.317607469464297,2011
Total Periodicals,7076739.466,2725406.113,6.161947605603713,2011
Package Services:,None,None,None,2011
Single-Piece Parcel Post,70217.81,487293.861,111.03595762955295,2011
Inbound Intl. Surface Parcel Post (at UPU Rates),1017.3139999999999,18346.461335242002,288.5474704603221,2011
Bound Printed Matter Flats,251831.376,368727.88,23.426969957865776,2011
Bound Printed Matter Parcels,245281.592,668230.798,43.589462547193506,2011
Media and Library Mail (note 2),107828.747,259637.906,38.525964657643655,2011
Total Package Services,676176.8389999999,1802236.9063352419,42.64533896784932,2011
International Negotiated Service Agreements,133555.3174939471,22250.464341706804,2.665617784057483,2011
U.S. Postal Service,434596.473,149446.097,5.501971830314417,2011
"Free Mail - blind, handicapped & servicemen",61853.966,30123.155,7.792070762285477,2011
Total Domestic Market Dominant Mail,166832759.0936272,17608955.977789287,1.688776815628357,2011
Mail Classes and Products,Transactions,Pounds,Piece,2011
MARKET DOMINANT SERVICES,None,None,None,2011
Ancillary Services,None,None,None,2011
Certified Mail,251222.212,NA,NA,2011
COD,819.4,NA,NA,2011
Insurance,34573.19,NA,NA,2011
Registered Mail,2687.96,NA,NA,2011
Other Ancillary Services (note 2),1698367.845,NA,NA,2011
Total International Ancillary Services (note 2),2547.795,NA,NA,2011
Special Services,None,None,None,2011
Money Orders,115510.031,NA,NA,2011
Total Market Dominant Service Transactions,2105728.433,NA,NA,2011
COMPETITIVE PRODUCTS,None,None,None,2011
Total Express Mail,40491.995,38658.563,15.27553799213894,2011
Total Priority Mail,790633.182,1693627.443,34.273844944696485,2011
Total Ground,380834,1415974,110.5,2011
Total Competitive International,276840.36751711875,289151.0188561188,16.711494581482306,2011
Total Competitive Mail,1488799.544517119,3437411.663856119,36.85992884949962,2011
Total Market Dominant Mail (no services),166832759.0936272,None,None,2011
Total Competitive Mail (no services),1488799.544517119,None,None,2011
Total All Mail (no services),168321558.63814434,None,None,2011
PUBLIC COST AND REVENUE ANALYSIS,None,None,None,2012
Fiscal Year 2012,None,None,None,2012
VOLUME STATISTICS,None,None,None,2012
Mail Classes and Products,Pieces,Pounds,Piece,2012
(note 1),(thousands),(thousands),(ounces),2012
MARKET DOMINANT PRODUCTS,None,None,None,2012
First-Class Mail:,None,None,None,2012
Single-Piece Letters,22755167.38,710601.305,0.4996500658568217,2012
Single-Piece Postcards,1158305.368,7404.114,0.10227512301402025,2012
Total Single-Piece Letters and Cards,23913472.748,718005.419,0.4804022746951634,2012
Presort Letters,39930761.374,2138305.771,0.8568054091319417,2012
Presort Cards,2588140.159,21129.479,0.1306233987461573,2012
Total Presort Letters and Cards,42518901.533,2159435.25,0.8126024604183182,2012
Flats,2049176.329,418597.382,3.2684147367974012,2012
Parcels,293412.825,91242.983,4.975541638304324,2012
First-Class NSAs,209577.255,13170.096,1.0054599484090008,2012
Outbound First-Class Mail International,263547.71280000004,55327.95084273086,3.358963749214877,2012
Inbound International Single-Piece Letter Post,201717.50753576818,57282.571865000005,4.5435875201734,2012
Total First-Class,69449805.91033576,3513061.6527077304,0.8093469190668893,2012
Standard Mail:,None,None,None,2012
High Density and Saturation Letters,5563558.746,233649.637,0.6719429707986406,2012
High Density and Saturation Flats and Parcels,11770274.971,2147581.51,2.919328923466999,2012
Carrier Route,9119946.416,2002720.546,3.5135654612819827,2012
Letters,46146862.879999995,2420629.51,0.8392785498921872,2012
Flats,5939634.513,1495809.033,4.02936316630565,2012
Not Flat-Machinables and Parcels,303558.642,126286.463,6.656319828970641,2012
Standard Mail NSAs,952843.728,42200.33,0.7086212147476086,2012
Total Standard Mail,79796679.896,8468877.029,1.6980911065548274,2012
Periodicals:,None,None,None,2012
In County,631286.455,181788.096,4.6074321933614115,2012
Outside County (note 2),6110064.496,2353700.254,6.163470792927617,2012
Total Periodicals,6741350.951,2535488.35,6.017757255907622,2012
Package Services:,None,None,None,2012
Single-Piece Parcel Post,70970.777,500018.281,112.72657330495339,2012
Inbound Intl. Surface Parcel Post (at UPU Rates),1100.9080000000001,18953.781370000004,275.4639823854491,2012
Bound Printed Matter Flats,230521.64,341023.662,23.66970229779729,2012
Bound Printed Matter Parcels,243307.816,673444.154,44.28590351573416,2012
Media and Library Mail (note 2),100421.982,242752.2,38.67714142507165,2012
Total Package Services,646323.123,1776192.07837,43.97037989606323,2012
International Negotiated Service Agreements,190249.61336139817,35777.94724879459,3.008926777124602,2012
U.S. Postal Service,440452.245,144762.729,5.258694195099403,2012
"Free Mail - blind, handicapped & servicemen",56951.576,24919.141,7.000794078112957,2012
Total Domestic Market Dominant Mail,157321813.31469715,16499078.927326523,1.6779952968706509,2012
Mail Classes and Products,Transactions,Pounds,Piece,2012
MARKET DOMINANT SERVICES,None,None,None,2012
Ancillary Services,None,None,None,2012
Certified Mail,227054.884,NA,NA,2012
COD,702.552,NA,NA,2012
Insurance,30115.142,NA,NA,2012
Registered Mail,2415.04,NA,NA,2012
Other Ancillary Services (note 2),2017035.241,NA,NA,2012
Total International Ancillary Services (note 2),0,NA,NA,2012
Special Services,None,None,None,2012
Money Orders,108841.46,NA,NA,2012
Total Market Dominant Service Transactions,2386164.3189999997,NA,NA,2012
COMPETITIVE PRODUCTS,None,None,None,2012
Total Express Mail,39823.055,40971.347,16.46135767333772,2012
Total First-Class Package Service,411423.642,139396.168,5.421027039569107,2012
Total Priority Mail,824201.977,1693667.297,32.87868448294198,2012
Total Ground,984202.1170000001,1881748.896,30.591259473992775,2012
Total Competitive International,273351.77048708603,314369.56169995305,18.400879490322808,2012
Total Competitive Mail,2533002.561487086,4070153.2696999526,25.709588022274588,2012
Total Market Dominant Mail (no services),157321813.31469715,None,None,2012
Total Competitive Mail (no services),2533002.561487086,None,None,2012
Total All Mail (no services),159854815.87618423,None,None,2012
"PUBLIC COST AND REVENUE ANALYSIS
Fiscal Year 2013",None,None,None,2013
VOLUME STATISTICS,None,None,None,2013
Mail Classes and Products,Pieces,Pounds,Piece,2013
(note 1),(thousands),(thousands),(ounces),2013
MARKET DOMINANT PRODUCTS,None,None,None,2013
First-Class Mail:,None,None,None,2013
Single-Piece Letters,21448767.244000003,665686.472,0.4965778886420368,2013
Single-Piece Postcards,1049160.543,6698.63,0.10215603390262075,2013
Total Single-Piece Letters and Cards,22497927.787000004,672385.102,0.47818455698912843,2013
Presort Letters,38724900.764,2115052.371,0.8738779769181385,2013
Presort Cards,2419290.077,19750.444,0.1306197661058732,2013
Total Presort Letters and Cards,41144190.841,2134802.815,0.8301741835681663,2013
