product,volume,weight,weight_pc,fy
Every Door Direct Mail Retail,712620.868,90388.588,2.0294345463933285,2018
Total USPS Marketing Mail,77303356.66799998,7359558.32,1.5232576979253512,2018
Periodicals:,None,None,None,2018
In County,510333.604,134324.862,4.211358560664173,2018
Outside County,4482995.667,1609962.89,5.746025237012569,2018
Total Periodicals,4993329.271000001,1744287.7519999999,5.589177584199413,2018
Package Services:,None,None,None,2018
Alaska Bypass,1257.684,84644.031,1076.8241434255347,2018
Bound Printed Matter Flats,265404.323,439122.341,26.47265642315857,2018
Bound Printed Matter Parcels,294799.626,637854.547,34.619015262929814,2018
Media and Library Mail,78963.652,179886.434,36.44946593908803,2018
Total Package Services,640425.2849999999,1341507.3530000001,33.51541257150708,2018
U.S. Postal Service,290423.046,113123.144,6.232185527039752,2018
"Free Mail - blind, handicapped & servicemen",42114.52,14826.426,5.632803508148734,2018
International Negotiated Service Agreements,178219.705,102920.58336,9.239883624316404,2018
Total Market Dominant Mail,140737668.03,13576387.444878522,1.543454585816732,2018
MARKET DOMINANT SERVICES,None,None,None,2018
Ancillary Services,None,None,None,2018
Certified Mail,178689.322,,,2018
COD,359.776,,,2018
Insurance,17618.863,,,2018
Registered Mail,1831.596,,,2018
Other Ancillary Services (note 2),5506624.478,,,2018
Total International Ancillary Services (note 2),25517.951999999997,,,2018
Special Services,None,None,None,2018
Money Orders,83389.891,,,2018
Total Market Dominant Service Transactions,5814031.878,None,,2018
COMPETITIVE PRODUCTS,None,None,None,2018
Total Priority Mail Express,28211.02,30287.466,17.177665181904093,2018
Total First-Class Package Service,1274600.272,491352.12,6.167921106484747,2018
Total Priority Mail,1074469.798,2698953.85,40.190298210690145,2018
Total Ground,3099460.8680000002,7512701.188,38.781976649237045,2018
Total Competitive International,186524.16864458448,252248.84295884013,21.637847345304987,2018
Total Competitive Mail,5663266.126644585,10985543.46695884,31.036630018918466,2018
TOTAL ALL MAIL,146400934.15664458,None,None,2018
"PUBLIC COST AND REVENUE ANALYSIS
Fiscal Year 2019 - Revised 1/10/2020",None,None,None,2019
VOLUME STATISTICS,None,None,None,2019
Mail Classes and Products,Pieces,Pounds,Piece,2019
(note 1),(thousands),(thousands),(ounces),2019
MARKET DOMINANT PRODUCTS,None,None,None,2019
First-Class Mail:,None,None,None,2019
Single-Piece Letters,15953934.124,467046.617,0.46839518164729765,2019
Single-Piece Postcards,563453.161,3617.815,0.1027326564239472,2019
Total Single-Piece Letters and Cards,16517387.285,470664.43200000003,0.4559214349135485,2019
Presort Letters,35207141.695,2032375.862,0.9236198176410924,2019
Presort Cards,1923399.347,15712.795,0.13070853974871396,2019
Total Presort Letters and Cards,37130541.042,2048088.657,0.8825462164672757,2019
Flats,1295348.21,261491.77500000002,3.229917922996165,2019
Outbound Single-Piece First-Class Mail International,126051.54999999999,7766.339839999997,0.985798567649505,2019
Inbound Single-Piece First-Class Mail International,560456.692,235896.90784000003,6.734419589087537,2019
Total First-Class,55629784.77900001,3023908.1116799996,0.8697234759956177,2019
USPS Marketing Mail:,None,None,None,2019
High Density and Saturation Letters,7253646.83,292005.581,0.6441021193197519,2019
High Density and Saturation Flats and Parcels,11606927.581,2034703.542,2.804812595306568,2019
Carrier Route,6358867.133,1304413.949,3.2821291509127053,2019
Letters,45966176.105,2242029.882,0.7804103180142051,2019
Flats,3818182.16,961508.552,4.029178333387844,2019
Parcels,36861.418,14851.938,6.4466051740060575,2019
Every Door Direct Mail Retail,649385.917,82367.89,2.0294345865834353,2019
Total USPS Marketing Mail,75690047.14399998,6931881.334,1.4653194908571536,2019
Periodicals:,None,None,None,2019
In County,499312.97,127964.363,4.1004939407041645,2019
Outside County,4135305.166,1444298.153,5.588165690406027,2019
Total Periodicals,4634618.136,1572262.5159999998,5.427890608849936,2019
Package Services:,None,None,None,2019
Alaska Bypass,1273.738,85757.608,1077.2401608494054,2019
Bound Printed Matter Flats,254367.802,428698.109,26.96555810157136,2019
Bound Printed Matter Parcels,285932.632,590903.891,33.06534895954093,2019
Media and Library Mail,80121.834,174194.979,34.78601930155518,2019
Total Package Services,621696.006,1279554.587,32.930681867690815,2019
U.S. Postal Service,284578.5,101411.959,5.701735528158311,2019
"Free Mail - blind, handicapped & servicemen",34108.889,12356.522,5.796270643702291,2019
International Negotiated Service Agreements,2609.766,2451.27776,15.028337467803626,2019
Total Market Dominant Mail,136897443.22,12923826.30744,1.5104827092112583,2019
MARKET DOMINANT SERVICES,None,None,None,2019
Ancillary Services,None,None,None,2019
Certified Mail,186950.339,,,2019
COD,367.916,,,2019
Insurance,14347.935,,,2019
Registered Mail,1446.939,,,2019
Other Domestic Ancillary Services (note 2),5584055.441,,,2019
Other Domestic NSA Ancillary Services (note 2),1389.177,,,2019
Total International Ancillary Services (note 2),29698.662,,,2019
Special Services,None,None,None,2019
Money Orders,81267.504,,,2019
Total Market Dominant Service Transactions,5899523.912999999,None,,2019
COMPETITIVE PRODUCTS,None,None,None,2019
Total Priority Mail Express,26163.102,28225.281,17.261122018329477,2019
Total First-Class Package Service,1398203.591,532379.218,6.092151059280178,2019
Total Priority Mail,1085276.921,2854403.675,42.08184834329486,2019
Total Ground,2997115.9480493306,7983301.376971757,42.6185787422348,2019
Total Competitive International,165692.1699552753,231649.44574671617,22.36913870430879,2019
Total Competitive Mail,5672451.732004606,11629958.996718474,32.80404183919541,2019
TOTAL ALL MAIL,142569894.9520046,None,None,2019
"PUBLIC COST AND REVENUE ANALYSIS
Fiscal Year 2020",None,None,None,2020
VOLUME STATISTICS,None,None,None,2020
Mail Classes and Products,Pieces,Pounds,Piece,2020
(note 1),(thousands),(thousands),(ounces),2020
MARKET DOMINANT PRODUCTS,None,None,None,2020
First-Class Mail:,None,None,None,2020
Single-Piece Letters,14695763.103,432423.002,0.4708001880206955,2020
Single-Piece Postcards,486288.009,3125.25,0.10282795190205893,2020
Total Single-Piece Letters and Cards,15182051.112,435548.252,0.4590138697723019,2020
Presort Letters,34166801.525,1948871.618,0.9126387164213786,2020
Presort Cards,2079692.138,16994.98,0.13074996776277661,2020
Total Presort Letters and Cards,36246493.662999995,1965866.598,0.8677767802988278,2020
Flats,1204654.437,243145.65,3.2294160719552476,2020
Outbound Single-Piece First-Class Mail International,96830.54200000002,6055.433900000003,1.0005824649830013,2020
Inbound Single-Piece First-Class Mail International,219157.98500010013,81902.97949022037,5.979465780555188,2020
Total First-Class,52949187.7390001,2732518.9133902206,0.8257029896237866,2020
USPS Marketing Mail:,None,None,None,2020
High Density and Saturation Letters,6532835.209,250998.556,0.6147372109535788,2020
High Density and Saturation Flats and Parcels,10426612.724,1682977.743,2.5825879027824534,2020
Carrier Route,5047509.099,1036723.171,3.2862884267581185,2020
Letters,38407623.065,1876935.988,0.7819014406899486,2020
Flats,3199130.411,800491.098,4.003543439167413,2020
Parcels,36714.88,14708.626,6.40988111632123,2020
Every Door Direct Mail Retail,529699.166,67186.862,2.0294345564440626,2020
Total USPS Marketing Mail,64180124.554,5730022.044000001,1.4284851165544532,2020
Periodicals:,None,None,None,2020
In County,469362.64,107072.83,3.6499821971343946,2020
Outside County,3536716.373,1176309.103,5.321587501808983,2020
Total Periodicals,4006079.0130000003,1283381.933,5.125737875205508,2020
Package Services:,None,None,None,2020
Alaska Bypass,1264.377,85149.174,1077.5162661136671,2020
Bound Printed Matter Flats,211203.914,372924.724,28.25134947072998,2020
Bound Printed Matter Parcels,260591.474,499281.749,30.655292981688266,2020
Media and Library Mail,97801.436,202080.009,33.059638756224395,2020
Total Package Services,570861.201,1159435.656,32.49646405028672,2020
U.S. Postal Service,321763.202,109243.316,5.432234155849804,2020
"Free Mail - blind, handicapped & servicemen",25185.948,9960.053,6.3273714374380505,2020
International Negotiated Service Agreements,848.784,896.6956700000002,16.903158777733797,2020
Total Market Dominant Mail,122054050.4410001,11025458.611060219,1.4453214550404234,2020
MARKET DOMINANT SERVICES,None,None,None,2020
Ancillary Services,None,None,None,2020
Certified Mail,168010.627,,,2020
COD,292.199,,,2020
Insurance,16824.937,,,2020
Registered Mail,1152.36,,,2020
Other Domestic Ancillary Services (note 2),1715373.898,,,2020
Other Domestic NSA Ancillary Services (note 2),2102.768,,,2020
Total International Ancillary Services (note 2),8932.06,,,2020
Special Services,None,None,None,2020
Money Orders,77069.138,,,2020
Total Market Dominant Service Transactions,1989757.987,None,,2020
COMPETITIVE PRODUCTS,None,None,None,2020
Total Priority Mail Express,24106.34,28810.8,19.12247151579211,2020
Total First-Class Package Service,1848139.983,696425.324,6.029199782752603,2020
Total Priority Mail,1261551.208,3349316.297,42.47870432224261,2020
Total Ground,3584008.729,10572517.041,47.198621835722655,2020
Total Competitive International,412299.2406204788,346123.416200255,13.43193029138218,2020
Total Competitive Mail,7130105.500620479,14993192.878200255,33.64481577871859,2020
TOTAL ALL MAIL,129184155.94162059,None,None,2020
"PUBLIC COST AND REVENUE ANALYSIS
Fiscal Year 2021",None,None,None,2021
VOLUME STATISTICS,None,None,None,2021
Mail Classes and Products,Pieces,Pounds,Piece,2021
(note 1),(thousands),(thousands),(ounces),2021
MARKET DOMINANT PRODUCTS,None,None,None,2021
First-Class Mail:,None,None,None,2021
Single-Piece Letters,13484286.832,401182.149,0.47602920821641564,2021
Single-Piece Postcards,436372.059,2809.87,0.10302657806053526,2021
Total Single-Piece Letters and Cards,13920658.891,403992.019,0.4643366635597277,2021
Presort Letters,33344344.61,1897005.311,0.9102618549262889,2021
Presort Cards,2277582.316,18623.477,0.13082979697669903,2021
Total Presort Letters and Cards,35621926.926,1915628.788,0.8604268003713439,2021
Flats,1176289.7200000002,233126.78000000003,3.171011712998733,2021
Outbound Single-Piece First-Class Mail International,104602.50042699998,6804.9405,1.0408837987193675,2021
Inbound Single-Piece First-Class Mail International,81650.47000000006,7882.323479999994,1.5445982819204813,2021
Total First-Class,50905128.507427,2567434.85098,0.8069709048998203,2021
USPS Marketing Mail:,None,None,None,2021
High Density and Saturation Letters,6531621.36,236972.417,0.5804927234789984,2021
High Density and Saturation Flats and Parcels,9994302.799,1539013.074,2.4638246088025095,2021
Carrier Route,5041577.231,1014260.473,3.218867196601714,2021
Letters,41221741.215,1992357.732,0.7733230759403281,2021
Flats,2869265.133,708564.515,3.951197158328275,2021
Parcels,36216.195,14350.118,6.339757337842919,2021
Every Door Direct Mail Retail,541716.126,68711.09,2.0294345824957034,2021
Total USPS Marketing Mail,66236440.05900001,5574229.418999999,1.3465045921030205,2021
Periodicals:,None,None,None,2021
In County,447172.286,98099.494,3.510038419509746,2021
Outside County,3231852.541,1061692.695,5.2561442406477665,2021
Total Periodicals,3679024.827,1159792.189,5.043911334279234,2021
Package Services:,None,None,None,2021
Alaska Bypass,1335.863,90000.152,1077.956670706502,2021
Bound Printed Matter Flats,181487.185,329221.349,29.024316973124023,2021
Bound Printed Matter Parcels,227241.668,425932.656,29.989757406638997,2021
Media and Library Mail,107259.661,222954.366,33.25826151921178,2021
Total Package Services,517324.377,1068108.523,33.03485613244164,2021
U.S. Postal Service,281853.862,97627.292,5.542009113928692,2021
"Free Mail - blind, handicapped & servicemen",19909.077,8737.144,7.021636613289506,2021
Total Market Dominant Mail,121639680.70942703,10475929.417979997,1.3779621066917997,2021
MARKET DOMINANT SERVICES,None,None,None,2021
Ancillary Services,None,None,None,2021
Certified Mail,156411.803,,,2021
COD,268.247,,,2021
Insurance,17396.613,,,2021
Registered Mail,1187.172,,,2021
Other Domestic Ancillary Services (note 2),151314.371,,,2021
Other Domestic NSA Ancillary Services (note 2),941.643,,,2021
Total International Ancillary Services (note 2),944.5619999999999,,,2021
Special Services,None,None,None,2021
Money Orders,71483.072,,,2021
Total Market Dominant Service Transactions,399947.48299999995,None,,2021
COMPETITIVE PRODUCTS,None,None,None,2021
Total Priority Mail Express,28722.113,33769.89,18.811925153278242,2021
Total First-Class Package Service,2056423.554,786696.949,6.120894287325402,2021
Total Priority Mail,1394267.867,3637212.428,41.739037544641334,2021
Total Ground,3545729.239,9144952.684,41.26633284194772,2021
Total Competitive International,230364.91815436273,297848.44441771647,20.687069666962707,2021
Total Competitive Mail,7255507.691154363,13900480.395417716,30.65363525116711,2021
TOTAL ALL MAIL,128895188.40058139,None,None,2021
"PUBLIC COST AND REVENUE ANALYSIS
 Fiscal Year 2022 - Updated per Order No. 6459 - March 24,2023",None,None,None,2022
VOLUME STATISTICS,None,None,None,2022
Mail Classes and Products,Pieces,Pounds,Piece,2022
(note 1),(thousands),(thousands),(ounces),2022
MARKET DOMINANT PRODUCTS,None,None,None,2022
First-Class Mail:,None,None,None,2022
Single-Piece Letters,12405736.057,369759.594,0.47688855194221064,2022
Single-Piece Postcards,411879.376,2656.218,0.10318430704818782,2022
Total Single-Piece Letters and Cards,12817615.433,372415.812,0.46487999450029993,2022
Presort Letters,32170064.705,1847977.287,0.9191040448048736,2022
Presort Cards,2822236.354,23087.724,0.13089037829040734,2022
Total Presort Letters and Cards,34992301.059,1871065.011,0.8555321962257811,2022
Flats,1091016.219,223657.00199999998,3.2799805994451487,2022
Outbound Single-Piece First-Class Mail International,111124.7602298,6963.718060000002,1.0026522327660419,2022
Inbound Single-Piece First-Class Mail International,78060.26199999999,7381.671010000001,1.5130199814087228,2022
Total First-Class,49090117.7332298,2481483.2140699998,0.8087927521559797,2022
USPS Marketing Mail:,None,None,None,2022
High Density and Saturation Letters,6044840.74,233192.683,0.6172342810143249,2022
High Density and Saturation Flats and Parcels,9440570.824,1406846.958,2.384342191552209,2022
Carrier Route,4718228.31,979200.215,3.320569165081374,2022
Letters,43682479.848,2076244.14,0.760485813891378,2022
Flats,2693530.387,667311.307,3.963935570777728,2022
Parcels,29415.13,12708.882,6.9128408407510005,2022
Every Door Direct Mail Retail,512153.287,64961.348,2.0294345352898224,2022
Total USPS Marketing Mail,67121218.526,5440465.533000001,1.2968693125599533,2022
Periodicals:,None,None,None,2022
In County,434754.069,94613.623,3.4820098900557963,2022
Outside County,2965609.879,960618.56,5.1827103318062555,2022
Total Periodicals,3400363.9480000003,1055232.183,4.965267008530229,2022
Package Services:,None,None,None,2022
Alaska Bypass,1339.799,90337.37,1078.8169867271135,2022
Bound Printed Matter Flats,137776.384,210988.481,24.502135982898203,2022
Bound Printed Matter Parcels,241140.353,495645.071,32.88674432686096,2022
Media and Library Mail,94975.449,200267.132,33.737920122915135,2022
Total Package Services,475231.985,997238.054,33.57477898715088,2022
U.S. Postal Service,266430.637,78352.581,4.70531959130511,2022
"Free Mail - blind, handicapped & servicemen",18286.702,7071.979,6.18764739535866,2022
International Negotiated Service Agreements,0,0,0,2022
Total Market Dominant Mail,120371649.5312298,10059843.54407,1.337171147292124,2022
MARKET DOMINANT SERVICES,None,None,None,2022
Ancillary Services,None,None,None,2022
Certified Mail,170035.176,,,2022
COD,295.01,,,2022
Insurance,12673.936,,,2022
Registered Mail,1128.1,,,2022
Other Domestic Ancillary Services (note 2),155945.837,,,2022
Other Domestic NSA Ancillary Services (note 2),1441.985,,,2022
Total International Ancillary Services (note 2),791.965,,,2022
Special Services,None,None,None,2022
Money Orders,66375.091,,,2022
Total Market Dominant Service Transactions,408687.10000000003,None,,2022
COMPETITIVE PRODUCTS,None,None,None,2022
Total Priority Mail Express,27291.668,28271.98,16.574717236044346,2022
Total First-Class Package Service,1960387.857,749222.602,6.114892820415995,2022
Total Priority Mail,1184348.041,3141581.396,42.44132687006319,2022
Total Ground,3553355.569,8555752.432,38.52472297066649,2022
Total Competitive International,165623.04340926115,234673.79051213726,22.670641541805164,2022
Total Competitive Mail,6891006.17840926,12709502.200512137,29.509774036385572,2022
TOTAL ALL MAIL,127262655.70963906,None,None,2022
"PUBLIC COST AND REVENUE ANALYSIS
Fiscal Year 2023",None,None,None,2023
VOLUME STATISTICS,None,None,None,2023
Mail Classes and Products,Pieces,Pounds,Piece,2023
(note 1),(thousands),(thousands),(ounces),2023
MARKET DOMINANT PRODUCTS,None,None,None,2023
First-Class Mail:,None,None,None,2023
Single-Piece Letters,11415317.777,338598.137,0.4745877686309809,2023
Single-Piece Postcards,369539.186,2390.901,0.10351924085257902,2023
Total Single-Piece Letters and Cards,11784856.963000001,340989.038,0.4629521278984741,2023
Presort Letters,30811256.327,1798112.383,0.9337431042300257,2023
Presort Cards,2437821.429,19941.124,0.1308783244763249,2023
Total Presort Letters and Cards,33249077.756,1818053.507,0.8748770815680966,2023
Flats,973029.96,202990.573,3.3378717012988997,2023
Outbound Single-Piece First-Class Mail International,99085.19031860001,6249.565089999995,1.0091623290875336,2023
Inbound Letter Post (Letters and Flats),71672.94399999997,6792.585880000004,1.5163514712050912,2023
Total First-Class,46177722.8133186,2375075.26897,0.8229337002421365,2023
USPS Marketing Mail:,None,None,None,2023
High Density and Saturation Letters,5601822.962,219041.997,0.6256306162786585,2023
High Density and Saturation Flats and Parcels,8887072.636,1221172.176,2.1985591449823274,2023
Carrier Route,4024762.705,808537.932,3.2142533262715673,2023
Letters,38126465.518,1779439.899,0.7467526296283209,2023
Flats,2227824.605,555250.889,3.987752987403602,2023
Parcels,25410.558,11582.701,7.293158064454939,2023
Every Door Direct Mail Retail,555570.434,70468.364,2.029434532507898,2023
Total USPS Marketing Mail,59448929.418,4665493.958,1.255664383846718,2023
Periodicals:,None,None,None,2023
In County,451825.36,95952.621,3.397865794872603,2023
Outside County,2541109.238,787252.665,4.956907185113307,2023
Total Periodicals,2992934.5979999998,883205.2860000001,4.721548070393219,2023
Package Services:,None,None,None,2023
Alaska Bypass,1252.523,84421.719,1078.4213176125309,2023
Bound Printed Matter Flats,114867.897,152276.123,21.21060828683927,2023
Bound Printed Matter Parcels,226433.063,483228.376,34.14542873537863,2023
Media and Library Mail,92257.876,188476.886,32.68696730022269,2023
Total Package Services,434811.359,908403.104,33.42702384184954,2023
U.S. Postal Service,376074.513,63570.656,2.704598319854768,2023
"Free Mail - blind, handicapped & servicemen",19702.72,7555.315,6.135449318672751,2023
Total Market Dominant Mail,109450175.42131859,8903303.58797,1.3015315586216336,2023
MARKET DOMINANT SERVICES,None,None,None,2023
Ancillary Services,None,None,None,2023
Certified Mail,156069.566,,,2023
COD,282.874,,,2023
Insurance,7959.621,,,2023
Registered Mail,930.791,,,2023
Other Domestic Ancillary Services (note 2),143911.274,,,2023
Other Domestic NSA Ancillary Services (note 2),1944.348,,,2023
Total International Ancillary Services (note 2),794.0099999999999,,,2023
Special Services,None,None,None,2023
Money Orders,63337.551,,,2023
Total Market Dominant Service Transactions,375230.03500000003,None,,2023
COMPETITIVE PRODUCTS,None,None,None,2023
Total Priority Mail Express,24032.345,23994.446,15.974768005369429,2023
Total First-Class Package Service,1363415.26,533586.159,6.261759563993731,2023
Total Priority Mail,1057980.699,2799285.71,42.33401554710215,2023
Total Ground,4155186.1689999998,9207305.057,35.45373779183852,2023
Total Competitive International,150441.47634144928,215946.46108009946,22.966694167768136,2023
Total Competitive Mail,6751055.949341449,12780117.8330801,30.28887434257279,2023
TOTAL ALL MAIL,116201231.37066004,None,None,2023
